respondent_id,include_primary,include_strict,self_blame_c,blame_1,scenario_type,real_conflict,outcome_var,feeling_score,outcome_label,family,order_label
R_3CHIMCYzzRNDJhL,TRUE,TRUE,-5,45,real,1,feelings_themalone,-27,"Other apologizes first, I do not",unilateral,other_first
R_3CHIMCYzzRNDJhL,TRUE,TRUE,-5,45,real,1,feelings_boththemfirst,17,"Other apologizes first, then I apologize",mutual,other_first
R_3CHIMCYzzRNDJhL,TRUE,TRUE,-5,45,real,1,feelings_neither,-23,Neither apologizes,neither,none
R_3CHIMCYzzRNDJhL,TRUE,TRUE,-5,45,real,1,feelings_youaloneforgiven,-30,"I apologize first, other forgives (no apology)",forgiven_only,self_first
R_3ETfgmPWW135fiC,TRUE,TRUE,-10,40,real,1,feelings_youalone,-20,"I apologize first, other does not",unilateral,self_first
R_3ETfgmPWW135fiC,TRUE,TRUE,-10,40,real,1,feelings_bothyoufirst,-10,"I apologize first, then other apologizes",mutual,self_first
R_3ETfgmPWW135fiC,TRUE,TRUE,-10,40,real,1,feelings_themalone,-30,"Other apologizes first, I do not",unilateral,other_first
R_3ETfgmPWW135fiC,TRUE,TRUE,-10,40,real,1,feelings_boththemfirst,-20,"Other apologizes first, then I apologize",mutual,other_first
R_3ETfgmPWW135fiC,TRUE,TRUE,-10,40,real,1,feelings_neither,-10,Neither apologizes,neither,none
R_3ETfgmPWW135fiC,TRUE,TRUE,-10,40,real,1,feelings_youaloneforgiven,-30,"I apologize first, other forgives (no apology)",forgiven_only,self_first
R_1Cfpswb0QXwsb0G,TRUE,TRUE,1,51,real,1,feelings_youalone,9,"I apologize first, other does not",unilateral,self_first
R_1Cfpswb0QXwsb0G,TRUE,TRUE,1,51,real,1,feelings_bothyoufirst,30,"I apologize first, then other apologizes",mutual,self_first
R_1Cfpswb0QXwsb0G,TRUE,TRUE,1,51,real,1,feelings_themalone,-21,"Other apologizes first, I do not",unilateral,other_first
R_1Cfpswb0QXwsb0G,TRUE,TRUE,1,51,real,1,feelings_boththemfirst,30,"Other apologizes first, then I apologize",mutual,other_first
R_1Cfpswb0QXwsb0G,TRUE,TRUE,1,51,real,1,feelings_neither,-2,Neither apologizes,neither,none
R_1Cfpswb0QXwsb0G,TRUE,TRUE,1,51,real,1,feelings_youaloneforgiven,-7,"I apologize first, other forgives (no apology)",forgiven_only,self_first
R_ZKKTKeRlmIFd5Qt,TRUE,TRUE,-11,39,real,1,feelings_youalone,-5,"I apologize first, other does not",unilateral,self_first
R_ZKKTKeRlmIFd5Qt,TRUE,TRUE,-11,39,real,1,feelings_bothyoufirst,26,"I apologize first, then other apologizes",mutual,self_first
R_ZKKTKeRlmIFd5Qt,TRUE,TRUE,-11,39,real,1,feelings_themalone,-6,"Other apologizes first, I do not",unilateral,other_first
R_ZKKTKeRlmIFd5Qt,TRUE,TRUE,-11,39,real,1,feelings_boththemfirst,27,"Other apologizes first, then I apologize",mutual,other_first
R_ZKKTKeRlmIFd5Qt,TRUE,TRUE,-11,39,real,1,feelings_neither,-20,Neither apologizes,neither,none
R_ZKKTKeRlmIFd5Qt,TRUE,TRUE,-11,39,real,1,feelings_youaloneforgiven,5,"I apologize first, other forgives (no apology)",forgiven_only,self_first
R_WksLSD9WfbhPNIJ,TRUE,TRUE,-31,19,real,1,feelings_youalone,-20,"I apologize first, other does not",unilateral,self_first
R_WksLSD9WfbhPNIJ,TRUE,TRUE,-31,19,real,1,feelings_bothyoufirst,-10,"I apologize first, then other apologizes",mutual,self_first
R_WksLSD9WfbhPNIJ,TRUE,TRUE,-31,19,real,1,feelings_themalone,-10,"Other apologizes first, I do not",unilateral,other_first
R_WksLSD9WfbhPNIJ,TRUE,TRUE,-31,19,real,1,feelings_boththemfirst,10,"Other apologizes first, then I apologize",mutual,other_first
R_WksLSD9WfbhPNIJ,TRUE,TRUE,-31,19,real,1,feelings_neither,0,Neither apologizes,neither,none
R_WksLSD9WfbhPNIJ,TRUE,TRUE,-31,19,real,1,feelings_youaloneforgiven,-30,"I apologize first, other forgives (no apology)",forgiven_only,self_first
R_vYWE7gCy9xrbATn,TRUE,TRUE,-10,40,real,1,feelings_youalone,-30,"I apologize first, other does not",unilateral,self_first
R_vYWE7gCy9xrbATn,TRUE,TRUE,-10,40,real,1,feelings_bothyoufirst,11,"I apologize first, then other apologizes",mutual,self_first
R_vYWE7gCy9xrbATn,TRUE,TRUE,-10,40,real,1,feelings_themalone,20,"Other apologizes first, I do not",unilateral,other_first
R_vYWE7gCy9xrbATn,TRUE,TRUE,-10,40,real,1,feelings_boththemfirst,30,"Other apologizes first, then I apologize",mutual,other_first
R_vYWE7gCy9xrbATn,TRUE,TRUE,-10,40,real,1,feelings_neither,-20,Neither apologizes,neither,none
R_vYWE7gCy9xrbATn,TRUE,TRUE,-10,40,real,1,feelings_youaloneforgiven,1,"I apologize first, other forgives (no apology)",forgiven_only,self_first
R_A6Zu0rorxHYhIBP,TRUE,TRUE,-41,9,real,1,feelings_youalone,-30,"I apologize first, other does not",unilateral,self_first
R_A6Zu0rorxHYhIBP,TRUE,TRUE,-41,9,real,1,feelings_bothyoufirst,11,"I apologize first, then other apologizes",mutual,self_first
R_A6Zu0rorxHYhIBP,TRUE,TRUE,-41,9,real,1,feelings_themalone,0,"Other apologizes first, I do not",unilateral,other_first
R_A6Zu0rorxHYhIBP,TRUE,TRUE,-41,9,real,1,feelings_boththemfirst,21,"Other apologizes first, then I apologize",mutual,other_first
R_A6Zu0rorxHYhIBP,TRUE,TRUE,-41,9,real,1,feelings_neither,-21,Neither apologizes,neither,none
R_A6Zu0rorxHYhIBP,TRUE,TRUE,-41,9,real,1,feelings_youaloneforgiven,-10,"I apologize first, other forgives (no apology)",forgiven_only,self_first
